jugador,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salario
Haywood Highsmith,SF,25,MIA,19,1,163,16,46,0.348,9,28,0.321,7,18,0.389,0.446,2,5,0.4,10,16,26,6,2,3,3,13,43,7,0.446,0.609,0.109,7.1,10.9,9,5.1,0.6,1.9,5.9,14,0,0.2,0.1,0.041,-3.3,-1.3,-4.6,-0.1,1752638
George Hill,PG,35,MIL,54,17,1253,118,275,0.429,41,134,0.306,77,141,0.546,0.504,57,62,0.919,38,117,155,120,42,6,41,70,334,10.2,0.552,0.487,0.225,3.3,9.7,6.6,12.4,1.6,0.5,11.9,11.7,1.3,1,2.3,0.087,-2.2,0.6,-1.6,0.1,4000000
Aaron Holiday,PG,25,TOT,63,15,1021,151,338,0.447,39,103,0.379,112,235,0.477,0.504,59,68,0.868,24,98,122,153,42,9,67,92,400,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2,0.7,15.4,18.7,0.5,0.9,1.5,0.068,-1.9,0.3,-1.7,0.1,1836090
Jrue Holiday,PG,31,MIL,67,64,2207,478,954,0.501,132,321,0.411,346,633,0.547,0.57,137,180,0.761,69,232,301,457,108,29,183,133,1225,19.8,0.593,0.336,0.189,3.4,10.9,7.2,31.8,2.4,1.3,15,23.5,4.5,2.4,6.9,0.15,2.9,0.3,3.2,2.9,33665040
Justin Holiday,SF,32,TOT,74,65,2057,261,662,0.394,177,482,0.367,84,180,0.467,0.528,50,62,0.806,29,161,190,128,57,33,70,154,749,9.5,0.543,0.728,0.094,1.5,8.8,5.1,8.6,1.3,1.4,9.2,15.8,0.8,0.6,1.4,0.033,-1.4,-0.8,-2.2,-0.1,6292440
Richaun Holmes,C,28,SAC,45,37,1074,198,300,0.66,2,5,0.4,196,295,0.664,0.663,70,90,0.778,93,224,317,48,17,41,56,128,468,17.8,0.689,0.017,0.3,9.3,22.9,16.1,6.8,0.8,3.3,14.2,15.8,2.4,0.9,3.2,0.145,-0.4,-0.1,-0.5,0.4,11215260
Al Horford,C,35,BOS,69,69,2005,266,569,0.467,89,265,0.336,177,304,0.582,0.546,80,95,0.842,108,422,530,232,49,92,65,130,701,16.7,0.574,0.466,0.167,6,22.2,14.3,16.4,1.2,4.2,9.6,14.8,3.7,3.8,7.6,0.181,1.4,2.9,4.3,3.2,26500000
Talen Horton-Tucker,SG,21,LAL,60,19,1511,224,538,0.416,49,182,0.269,175,356,0.492,0.462,100,125,0.8,37,156,193,159,59,29,82,148,597,11,0.503,0.338,0.232,2.6,11.1,6.9,14.9,1.9,1.7,12.1,19.2,-0.2,1.2,1.1,0.033,-3.2,-0.2,-3.3,-0.5,10260000
Danuel House Jr.,SF,28,TOT,42,7,727,80,198,0.404,44,117,0.376,36,81,0.444,0.515,44,58,0.759,18,93,111,44,21,17,33,51,248,10.6,0.555,0.591,0.293,2.8,13.8,8.4,8.4,1.4,2.1,12.9,15.2,0.4,0.7,1,0.068,-1.3,0.2,-1.1,0.2,4105000
Kevin Huerter,SF,23,ATL,74,60,2188,345,760,0.454,160,411,0.389,185,349,0.53,0.559,42,52,0.808,32,222,254,203,55,26,91,185,892,11.9,0.57,0.541,0.068,1.6,11,6.4,13.2,1.2,1.1,10.4,17.5,1.8,1,2.8,0.062,-0.5,-0.7,-1.2,0.4,14508929
Jay Huff,C,23,LAL,4,0,20,0,3,0,0,2,0,0,1,0,0,0,0,0,1,3,4,1,1,1,1,1,0,0.6,0,0.667,0,5.4,16.1,10.8,5.9,2.4,4.5,25,8.6,-0.1,0,0,-0.117,-8.3,0.9,-7.4,0,1637966
De'Andre Hunter,SF,24,ATL,53,52,1577,254,575,0.442,74,195,0.379,180,380,0.474,0.506,127,166,0.765,26,150,176,68,36,21,69,155,709,10.6,0.547,0.339,0.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,0.4,0.7,1.1,0.034,-2.4,-1.5,-3.9,-0.8,9835881
Bones Hyland,SG,21,DEN,69,4,1310,230,571,0.403,131,358,0.366,99,213,0.465,0.518,107,125,0.856,14,174,188,191,41,20,86,153,698,14.4,0.558,0.627,0.219,1.2,14.4,8,21.2,1.5,1.4,12.1,23.8,1.1,1.3,2.4,0.088,0.3,-0.7,-0.4,0.5,2201520
Serge Ibaka,C,32,TOT,54,12,877,148,296,0.5,37,99,0.374,111,197,0.563,0.563,32,44,0.727,62,188,250,49,11,33,43,102,365,14.4,0.579,0.334,0.149,7.7,22.2,15.1,8.4,0.6,3.3,12,17.8,0.8,1.1,2,0.108,-1.3,-0.2,-1.5,0.1,1836090
Joe Ingles,SF,34,UTA,45,15,1122,115,285,0.404,78,225,0.347,37,60,0.617,0.54,17,22,0.773,12,119,131,158,23,5,46,82,325,10,0.551,0.789,0.077,1.2,11.2,6.4,19,1,0.4,13.5,13.2,1.3,0.9,2.2,0.094,-0.7,0.5,-0.3,0.5,6479000
Brandon Ingram,SF,24,NOP,55,55,1869,453,983,0.461,74,226,0.327,379,757,0.501,0.498,266,322,0.826,35,285,320,307,34,26,151,119,1246,18.7,0.554,0.23,0.328,2,17.3,9.5,27.8,0.9,1.3,11.8,29.3,2.5,1.3,3.9,0.099,2.6,-0.6,2,1.9,31650600
Kyrie Irving,PG,29,BRK,29,29,1091,289,616,0.469,100,239,0.418,189,377,0.501,0.55,118,129,0.915,16,111,127,167,41,17,73,81,796,21.4,0.592,0.388,0.209,1.6,10.8,6.3,25.2,1.8,1.4,9.8,29.4,2.4,0.9,3.3,0.147,4.2,-1.2,3,1.4,36934550
Isaiah Jackson,PF,20,IND,36,15,541,116,206,0.563,5,16,0.313,111,190,0.584,0.575,60,88,0.682,60,89,149,10,25,52,40,92,297,20.5,0.607,0.078,0.427,12.2,18.7,15.4,2.9,2.3,8.4,14,22.5,0.7,0.7,1.4,0.126,-1.6,0.1,-1.5,0.1,2573760
Jaren Jackson Jr.,PF,22,MEM,78,78,2126,430,1036,0.415,128,401,0.319,302,635,0.476,0.477,284,345,0.823,119,335,454,86,73,177,130,272,1272,17,0.535,0.387,0.333,5.7,16.9,11.2,5.8,1.6,7.4,9.9,25.4,1.7,3.7,5.4,0.121,-0.9,0.8,-0.1,1,28946605
Reggie Jackson,SG,31,LAC,75,75,2337,479,1222,0.392,167,512,0.326,312,710,0.439,0.46,138,163,0.847,39,232,271,359,55,15,173,159,1263,12.1,0.488,0.419,0.133,1.8,10.2,6.1,24.6,1.2,0.5,11.8,27.6,-1.7,2,0.4,0.008,-1.4,-1.6,-3,-0.6,11215260
LeBron James,PF,37,LAL,56,56,2084,640,1221,0.524,161,448,0.359,479,773,0.62,0.59,254,336,0.756,63,396,459,349,73,59,196,121,1695,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,0.172,6.9,0.8,7.7,5.1,44474988
Ty Jerome,SG,24,OKC,48,4,801,124,328,0.378,54,186,0.29,70,142,0.493,0.46,38,47,0.809,19,59,78,109,30,5,37,73,340,11.3,0.488,0.567,0.143,2.4,7.7,5,21.3,1.8,0.6,9.6,20.8,0,0.5,0.5,0.032,-2.2,-0.2,-2.3,-0.1,4220057
Isaiah Joe,SG,22,PHI,55,1,609,62,177,0.35,45,135,0.333,17,42,0.405,0.477,29,31,0.935,6,50,56,35,14,3,19,47,198,7.7,0.519,0.763,0.175,1.1,9,5.1,8.1,1.1,0.4,9.1,15.5,0,0.4,0.4,0.035,-3.1,-1.5,-4.6,-0.4,1782621
Cameron Johnson,PF,25,PHO,66,16,1730,279,607,0.46,166,391,0.425,113,216,0.523,0.596,98,114,0.86,42,231,273,99,57,16,47,113,822,15.2,0.625,0.644,0.188,2.7,14,8.5,7.7,1.6,0.8,6.7,17.5,3.2,2.4,5.6,0.156,2,0.7,2.7,2.1,5887899
Jalen Johnson,PF,20,ATL,22,0,120,22,41,0.537,3,13,0.231,19,28,0.679,0.573,5,7,0.714,2,24,26,3,3,2,9,9,52,11.3,0.59,0.317,0.171,1.8,21.8,11.9,3.7,1.2,1.5,17,19.3,-0.1,0.1,0,0.013,-3.9,-1.1,-4.9,-0.1,2792640
Keldon Johnson,SF,22,SAS,75,74,2392,471,1011,0.466,159,399,0.398,312,612,0.51,0.545,177,234,0.756,80,377,457,158,58,14,92,148,1278,15.2,0.574,0.395,0.231,3.5,16.7,10,9.5,1.2,0.5,7.6,21.3,2.9,2,4.9,0.098,0.7,-1.2,-0.5,0.9,3873025
Keon Johnson,SG,19,TOT,37,12,697,96,272,0.353,34,100,0.34,62,172,0.36,0.415,41,51,0.804,24,57,81,76,28,12,46,69,267,8.7,0.453,0.368,0.188,3.7,9.1,6.3,16.3,2,1.7,13.5,21.2,-0.8,0.4,-0.5,-0.031,-4,-2,-5.9,-0.7,2681040
Stanley Johnson,PF,25,LAL,48,27,1094,117,251,0.466,33,105,0.314,84,146,0.575,0.532,53,74,0.716,34,121,155,80,43,14,35,109,320,10.5,0.564,0.418,0.295,3.4,11.9,7.6,9.8,1.9,1.1,11,12.5,0.9,0.9,1.8,0.079,-2.8,0.1,-2.7,-0.2,2351521
Nikola Jokić,C,26,DEN,74,74,2476,764,1311,0.583,97,288,0.337,667,1023,0.652,0.62,379,468,0.81,206,813,1019,584,109,63,281,191,2004,32.8,0.661,0.22,0.357,9.6,35.5,23,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,33047803
Carlik Jones,PG,24,TOT,5,0,23,1,9,0.111,0,1,0,1,8,0.125,0.111,2,2,1,1,2,3,5,1,0,3,0,4,-1.8,0.202,0.111,0.222,4.8,9.7,7.3,26.7,2.2,0,23.3,25.1,-0.2,0,-0.1,-0.285,-11.3,-4.2,-15.5,-0.1,1637966
Damian Jones,C,26,SAC,56,15,1017,175,266,0.658,10,29,0.345,165,237,0.696,0.677,94,131,0.718,75,171,246,69,26,47,59,130,454,18.3,0.701,0.109,0.492,7.9,18.5,13.2,10.2,1.2,4,15.4,16.2,2.4,0.9,3.3,0.156,-0.2,0.5,0.3,0.6,2298385
Derrick Jones Jr.,PF,24,CHI,51,8,899,105,195,0.538,20,61,0.328,85,134,0.634,0.59,56,70,0.8,60,109,169,30,25,33,30,105,286,13,0.633,0.313,0.359,7.6,13.6,10.6,4.4,1.4,3.2,11.7,12.5,1.4,0.8,2.2,0.119,-1.5,0.5,-0.9,0.2,3200000
Herbert Jones,PF,23,NOP,78,69,2335,274,576,0.476,57,169,0.337,217,407,0.533,0.525,137,163,0.84,98,198,296,167,130,60,100,238,742,12.3,0.573,0.293,0.283,4.5,9.6,7,10,2.7,2.5,13.4,13.7,2.1,2.5,4.6,0.096,-2,1.5,-0.5,0.9,1785000
Kai Jones,C,21,CHO,21,0,63,9,14,0.643,1,2,0.5,8,12,0.667,0.679,3,8,0.375,3,8,11,4,1,2,6,8,22,9.2,0.628,0.143,0.571,5,13.7,9.2,8.6,0.8,3,25.5,15.9,0,0,0,0.009,-5.2,-1.4,-6.6,-0.1,2909040
Tre Jones,PG,22,SAS,69,11,1148,166,339,0.49,10,51,0.196,156,288,0.542,0.504,71,91,0.78,29,126,155,233,42,7,46,78,413,15,0.545,0.15,0.268,2.6,11.6,7.1,27,1.8,0.5,10.8,15.6,1.9,0.9,2.9,0.121,-0.9,0.4,-0.5,0.4,1782621
Tyus Jones,PG,25,MEM,73,23,1549,249,552,0.451,80,205,0.39,169,347,0.487,0.524,54,66,0.818,17,159,176,324,66,2,46,32,632,16.5,0.544,0.371,0.12,1.1,11,5.9,28.2,2,0.1,7.3,16.6,3.4,1.6,5.1,0.158,1.2,0.5,1.7,1.4,15000000
DeAndre Jordan,C,33,TOT,48,20,622,92,143,0.643,0,0,0,92,143,0.643,0.643,22,40,0.55,83,181,264,21,12,35,37,71,206,17.2,0.641,0,0.28,14.7,31.4,23.1,4.9,0.9,5,18.7,13.9,0.9,1,1.9,0.145,-1.5,0.1,-1.4,0.1,9663997
Cory Joseph,PG,30,DET,65,39,1600,178,400,0.445,65,157,0.414,113,243,0.465,0.526,100,113,0.885,29,145,174,237,42,17,85,147,521,11.4,0.579,0.393,0.283,1.9,10.3,5.9,21.8,1.3,1,15.9,14.3,1.7,0.8,2.5,0.075,-2,-0.1,-2.1,0,5155500
Frank Kaminsky,C,28,PHO,9,0,181,36,66,0.545,5,15,0.333,31,51,0.608,0.583,18,20,0.9,11,30,41,13,8,7,5,14,95,21.3,0.635,0.227,0.303,6.7,17.3,12.1,10.1,2.1,3.4,6.3,19,0.5,0.3,0.9,0.228,2.4,2.5,4.9,0.3,1836090
Luke Kennard,SG,25,LAC,70,13,1919,287,639,0.449,190,423,0.449,97,216,0.449,0.598,69,77,0.896,20,209,229,146,42,6,60,101,833,13.3,0.619,0.662,0.121,1.1,11.2,6.3,11.2,1.1,0.3,8.2,16.8,2.8,1.7,4.5,0.113,0.8,-0.3,0.5,1.2,14415545
Corey Kispert,SF,22,WAS,77,36,1801,234,514,0.455,112,320,0.35,122,194,0.629,0.564,54,62,0.871,53,156,209,85,35,22,50,93,634,10.9,0.586,0.623,0.121,3.3,9.4,6.4,6.7,1,1,8.5,14.6,1.6,0.7,2.3,0.061,-0.8,-1.5,-2.3,-0.1,3552840
Maxi Kleber,PF,30,DAL,59,21,1450,141,354,0.398,83,255,0.325,58,99,0.586,0.516,46,65,0.708,70,280,350,68,30,58,47,137,411,11,0.537,0.72,0.184,5.4,21.5,13.4,6.5,1,3.6,10.9,13.3,0.7,2.3,3,0.098,-1.6,1.2,-0.4,0.6,9000000
Nathan Knight,PF,24,MIN,37,2,267,45,88,0.511,4,13,0.308,41,75,0.547,0.534,44,60,0.733,32,53,85,22,7,8,18,42,138,18.7,0.603,0.148,0.682,12.5,21.8,17.1,11.9,1.2,2.9,13.6,20.7,0.6,0.3,1,0.171,-0.7,0.1,-0.6,0.1,1836090
Kevin Knox,SF,22,TOT,30,0,222,31,85,0.365,15,54,0.278,16,31,0.516,0.453,16,22,0.727,14,30,44,10,4,2,7,19,93,10.9,0.491,0.635,0.259,6.8,14.8,10.7,6.5,0.9,0.8,6.9,20,0.1,0.2,0.2,0.047,-1.9,-2.2,-4.1,-0.1,3000000
John Konchar,SG,25,MEM,72,7,1292,135,262,0.515,52,126,0.413,83,136,0.61,0.615,27,49,0.551,87,242,329,109,45,22,29,90,349,14,0.615,0.481,0.187,6.9,20.1,13.3,10.6,1.7,1.5,9.3,9.9,2.4,1.8,4.2,0.155,0.2,1.3,1.5,1.2,2300000
Furkan Korkmaz,SG,24,PHI,67,19,1414,182,470,0.387,77,266,0.289,105,204,0.515,0.469,68,84,0.81,22,153,175,127,33,9,48,58,509,10.2,0.502,0.566,0.179,1.8,11.9,6.9,13.1,1.2,0.6,8.6,17.6,0.1,1.1,1.2,0.041,-2,-1.1,-3.1,-0.4,5000000
Luke Kornet,C,26,TOT,15,0,103,13,27,0.481,0,5,0,13,22,0.591,0.481,4,6,0.667,13,16,29,9,3,3,0,9,30,16.6,0.506,0.185,0.222,14,16.4,15.2,12.4,1.4,2.6,0,12.7,0.2,0.2,0.4,0.194,-0.9,0.4,-0.5,0,2133278
Vit Krejci,SG,21,OKC,30,8,690,68,167,0.407,32,98,0.327,36,69,0.522,0.503,19,22,0.864,18,83,101,57,19,8,29,65,187,8.5,0.529,0.587,0.132,2.6,12.6,7.5,11.9,1.3,1.1,14.1,12.9,0.1,0.5,0.6,0.042,-4.3,-1,-5.3,-0.6,1563518
Jonathan Kuminga,SF,19,GSW,70,12,1185,236,460,0.513,50,149,0.336,186,311,0.598,0.567,130,190,0.684,54,180,234,64,31,22,74,146,652,15.2,0.6,0.324,0.413,5.1,16.1,10.8,8.4,1.3,1.8,12,22.7,1.3,1.8,3,0.123,-1.3,-0.2,-1.5,0.1,5739840
Kyle Kuzma,PF,26,WAS,66,66,2204,423,936,0.452,128,375,0.341,295,561,0.526,0.52,156,219,0.712,70,491,561,233,42,57,169,128,1130,15.2,0.547,0.401,0.234,3.6,24.3,14.1,16.3,0.9,2.2,14.1,24.2,0,2,2,0.044,0.2,-0.4,-0.2,1,13000000
Jock Landale,C,26,SAS,54,1,589,101,204,0.495,29,89,0.326,72,115,0.626,0.566,34,41,0.829,63,75,138,45,10,14,31,53,265,16,0.597,0.436,0.201,11.1,13.5,12.3,10.6,0.8,2,12.3,18.1,1,0.4,1.5,0.121,0.7,-1.1,-0.4,0.2,1563518
Romeo Langford,SG,22,TOT,48,5,771,83,191,0.435,29,85,0.341,54,106,0.509,0.51,23,42,0.548,30,78,108,21,22,16,16,47,218,9.2,0.52,0.445,0.22,4.3,10.7,7.6,3.7,1.4,1.9,7.1,12.9,0.3,1,1.3,0.082,-2.3,1,-1.4,0.1,5634257
Zach LaVine,SG,26,CHI,67,67,2328,565,1186,0.476,185,475,0.389,380,711,0.534,0.554,320,375,0.853,22,286,308,303,41,23,171,120,1635,20,0.605,0.401,0.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,4.5,1.3,5.8,0.12,3.9,-1.5,2.4,2.6,37096500
Damion Lee,SG,29,GSW,63,5,1256,169,383,0.441,63,187,0.337,106,196,0.541,0.523,66,75,0.88,27,176,203,63,39,6,38,95,467,10.9,0.561,0.488,0.196,2.4,14.9,8.8,7.1,1.5,0.5,8.4,15.8,0.9,1.8,2.7,0.102,-2.4,0.4,-2,0,1836090
Saben Lee,PG,22,DET,37,0,604,69,177,0.39,14,60,0.233,55,117,0.47,0.429,56,71,0.789,18,69,87,107,36,12,36,44,208,13.8,0.499,0.339,0.401,3.1,13,7.8,26.2,2.9,1.8,14.7,17.3,0.3,0.7,0.9,0.073,-1.9,1.5,-0.4,0.2,1752638
Alex Len,C,28,SAC,39,10,620,94,176,0.534,6,21,0.286,88,155,0.568,0.551,41,63,0.651,52,109,161,45,13,25,43,100,235,13.1,0.577,0.119,0.358,9,19.3,14.1,10.6,1,3.5,17.4,17.1,0.4,0.5,0.9,0.07,-3.2,0.3,-2.9,-0.1,3918600
Caris LeVert,SG,27,TOT,58,49,1781,379,854,0.444,82,256,0.32,297,598,0.497,0.492,146,193,0.756,43,171,214,248,51,23,108,131,986,15.1,0.525,0.3,0.226,2.7,10.7,6.7,22,1.4,1.1,10.3,25.4,1.2,1,2.2,0.059,0,-1.2,-1.2,0.4,18796296
Kira Lewis Jr.,PG,20,NOP,24,0,341,59,146,0.404,13,58,0.224,46,88,0.523,0.449,10,12,0.833,9,30,39,49,11,1,26,17,141,9.8,0.466,0.397,0.082,2.9,10,6.3,21.7,1.6,0.3,14.7,22.3,-0.3,0.2,-0.1,-0.017,-2.8,-1.2,-4,-0.2,4004280
Damian Lillard,PG,31,POR,29,29,1056,222,552,0.402,92,284,0.324,130,268,0.485,0.486,159,181,0.878,13,107,120,212,17,11,83,37,695,18.5,0.55,0.514,0.328,1.3,11.6,6.2,34,0.8,1,11.6,29.3,1.7,0.1,1.7,0.079,4,-2.7,1.3,0.9,42492492
Nassir Little,SF,21,POR,42,23,1088,145,315,0.46,51,154,0.331,94,161,0.584,0.541,69,94,0.734,58,178,236,54,25,36,40,82,410,13.5,0.575,0.489,0.298,5.7,18.7,11.9,7.4,1.1,3.3,10.1,15.8,1.2,0.6,1.7,0.076,-0.9,-0.6,-1.4,0.2,4171548
Isaiah Livers,SF,23,DET,19,5,383,41,90,0.456,27,64,0.422,14,26,0.538,0.606,12,14,0.857,15,42,57,21,13,7,15,37,121,11.1,0.629,0.711,0.156,4,12.5,8,8,1.7,1.6,13.5,12.4,0.4,0.3,0.7,0.085,-1.3,-0.2,-1.5,0,1563518
Kevon Looney,C,25,GSW,82,80,1732,208,364,0.571,0,1,0,208,363,0.573,0.571,75,125,0.6,208,388,596,165,50,52,67,215,491,15.7,0.586,0.003,0.343,13.5,23.8,18.8,13.2,1.4,2.9,13.8,12.2,3.5,3.2,6.8,0.187,-0.9,1.7,0.9,1.3,8000000
Brook Lopez,C,33,MIL,13,11,298,61,131,0.466,19,53,0.358,42,78,0.538,0.538,20,23,0.87,19,34,53,6,8,15,12,34,161,16,0.57,0.405,0.176,6.9,11.9,9.4,3,1.3,4.8,7.8,21.9,0.3,0.3,0.7,0.108,-0.7,-0.7,-1.3,0.1,13906976
Robin Lopez,C,33,ORL,36,9,612,110,199,0.553,2,6,0.333,108,193,0.56,0.558,32,54,0.593,68,58,126,54,2,18,44,67,254,13.7,0.57,0.03,0.271,11.7,10,10.9,14.4,0.2,2.7,16.5,18.9,0.5,0.3,0.8,0.064,-2.4,-1.4,-3.8,-0.3,1836090
Didi Louzada,SG,22,TOT,9,1,129,12,33,0.364,9,23,0.391,3,10,0.3,0.5,2,2,1,5,12,17,5,2,2,5,13,35,6.4,0.517,0.697,0.061,4.1,10.6,7.2,5.3,0.8,1.5,12.9,13,0,0,0,-0.005,-4.1,-3.4,-7.5,-0.2,268032
Kevin Love,C,33,CLE,74,4,1665,327,761,0.43,187,477,0.392,140,284,0.493,0.553,166,198,0.838,87,449,536,160,26,18,98,101,1007,19.6,0.594,0.627,0.26,5.9,29.2,17.8,15.3,0.8,1,10.4,25.1,3.2,2.5,5.7,0.164,4.4,0.1,4.5,2.7,28942830
Kyle Lowry,PG,35,MIA,63,63,2133,276,627,0.44,144,382,0.377,132,245,0.539,0.555,148,174,0.851,33,249,282,474,67,17,168,177,844,15,0.6,0.609,0.278,1.8,13,7.5,32.3,1.6,0.8,19.3,18.2,3.7,2.7,6.4,0.143,1.1,0.8,2,2.1,28333334
Trey Lyles,PF,26,TOT,75,23,1537,262,562,0.466,67,209,0.321,195,353,0.552,0.526,195,243,0.802,89,290,379,88,29,32,73,123,786,16.4,0.588,0.372,0.432,6,21.2,13.4,9,0.9,1.9,9.8,20.7,2.4,1.2,3.5,0.111,0.5,-0.8,-0.3,0.7,2625000
Théo Maledon,PG,20,OKC,51,7,908,119,317,0.375,44,150,0.293,75,167,0.449,0.445,79,100,0.79,20,111,131,111,31,11,65,67,361,10.6,0.5,0.473,0.315,2.2,12.8,7.4,18.5,1.7,1.1,15.3,20.3,-0.5,0.8,0.3,0.015,-3.7,-0.7,-4.4,-0.6,1900000
Terance Mann,SF,25,LAC,81,33,2317,334,690,0.484,76,208,0.365,258,482,0.535,0.539,128,164,0.78,104,321,425,209,55,21,84,178,872,13.4,0.572,0.301,0.238,4.9,14.3,9.7,13.1,1.2,0.8,9.9,16,3.1,2.4,5.5,0.113,-0.8,0.2,-0.6,0.8,1930681
Tre Mann,PG,20,OKC,60,26,1367,231,588,0.393,98,272,0.36,133,316,0.421,0.476,65,82,0.793,25,146,171,91,47,12,71,102,625,10.2,0.501,0.463,0.139,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22,-1,1,0.1,0.002,-3.3,-1.1,-4.4,-0.8,3046200
Boban Marjanović,C,33,DAL,23,0,128,42,70,0.6,1,4,0.25,41,66,0.621,0.607,13,22,0.591,8,31,39,3,0,3,15,24,98,18.5,0.615,0.057,0.314,6.9,27,16.9,4.8,0,2.1,15.8,33.3,-0.1,0.2,0.1,0.045,-3.2,-1.2,-4.4,-0.1,3500000
Lauri Markkanen,SF,24,CLE,61,61,1878,313,703,0.445,136,380,0.358,177,323,0.548,0.542,138,159,0.868,59,286,345,81,45,30,54,130,900,14.7,0.582,0.541,0.226,3.5,16.5,10.2,6.6,1.2,1.4,6.5,19.5,2.7,2.3,5,0.127,0.4,-0.1,0.4,1.1,16475454
Naji Marshall,SF,24,NOP,55,4,735,109,269,0.405,21,105,0.2,88,164,0.537,0.444,74,93,0.796,38,104,142,62,33,8,46,69,313,12.3,0.505,0.39,0.346,5.6,16,10.7,12.3,2.2,1,12.9,20.8,0,0.7,0.8,0.05,-2.7,-0.5,-3.2,-0.2,1782621
Caleb Martin,SF,26,MIA,60,12,1372,208,410,0.507,64,155,0.413,144,255,0.565,0.585,71,93,0.763,70,160,230,64,58,30,52,104,551,14.8,0.611,0.378,0.227,5.9,13,9.5,7,2.1,2.3,10.3,16.3,1.9,2.1,4,0.139,0.1,0.9,1.1,1.1,6479000
Cody Martin,SF,26,CHO,71,11,1866,204,423,0.482,61,159,0.384,143,264,0.542,0.554,75,107,0.701,82,203,285,179,88,32,61,116,544,12.7,0.579,0.376,0.253,4.6,11.7,8.1,12.4,2.3,1.6,11.5,12.1,2.4,1.5,3.9,0.101,-1.2,0.7,-0.5,0.7,7000000
Kenyon Martin Jr.,SF,21,HOU,79,2,1656,279,523,0.533,60,168,0.357,219,355,0.617,0.591,78,123,0.634,80,217,297,101,34,40,60,113,696,14.3,0.603,0.321,0.235,5.3,14.5,9.9,9.4,1,2.2,9.4,16.3,2.3,0.6,2.9,0.084,0,-1.2,-1.2,0.4,1782621
Garrison Mathews,SG,25,HOU,65,33,1712,184,461,0.399,139,386,0.36,45,75,0.6,0.55,143,180,0.794,32,158,190,64,57,24,41,168,650,11,0.602,0.837,0.39,2,10.2,6.1,5.3,1.6,1.3,7.1,14.4,2.2,0.5,2.8,0.078,-1.3,-1,-2.3,-0.1,2000000
Wesley Matthews,SG,35,MIL,49,14,1002,87,220,0.395,53,157,0.338,34,63,0.54,0.516,22,28,0.786,30,62,92,36,23,8,18,87,249,6.9,0.536,0.714,0.127,3.2,6.4,4.9,4.6,1.1,0.8,7.2,10.7,0.6,0.6,1.2,0.056,-3,-0.3,-3.3,-0.3,1836090
Tyrese Maxey,PG,21,PHI,75,74,2650,483,995,0.485,132,309,0.427,351,686,0.512,0.552,213,246,0.866,26,214,240,321,55,32,88,156,1311,16.2,0.594,0.311,0.247,1.1,8.9,5.1,19.1,1,1.1,7.4,20.2,5.4,1.9,7.3,0.132,1.3,-0.7,0.6,1.8,2726880
Miles McBride,PG,21,NYK,40,2,372,32,108,0.296,17,68,0.25,15,40,0.375,0.375,8,12,0.667,4,38,42,41,14,1,5,45,89,6.1,0.393,0.63,0.111,1.1,11.2,6.1,15.9,1.9,0.3,4.2,13.9,-0.1,0.4,0.2,0.032,-5.5,1,-4.5,-0.2,1563518
Mac McClung,SG,23,TOT,2,0,25,3,6,0.5,1,3,0.333,2,3,0.667,0.583,1,1,1,0,3,3,1,1,1,3,5,8,5.2,0.621,0.5,0.167,0,12.9,6.5,5.2,1.9,3.6,31.8,16.3,0,0,0,-0.043,-8.4,-1.2,-9.6,0,1637966
CJ McCollum,SG,30,TOT,62,62,2145,536,1164,0.46,182,469,0.388,354,695,0.509,0.539,116,170,0.682,53,216,269,315,70,22,127,121,1370,18.3,0.553,0.403,0.146,2.6,11.5,6.9,26.1,1.6,1,9.3,27.5,2.6,1,3.6,0.081,3.2,-1.3,1.9,2.1,33333333
T.J. McConnell,PG,29,IND,27,8,652,100,208,0.481,10,33,0.303,90,175,0.514,0.505,19,23,0.826,20,70,90,131,29,10,29,53,229,15.1,0.525,0.159,0.111,3.4,12.2,7.7,28.7,2.2,1.3,11.7,16.2,1,0.4,1.3,0.098,-0.4,1.4,0.9,0.5,8100000
Jaden McDaniels,PF,21,MIN,70,31,1803,255,554,0.46,80,252,0.317,175,302,0.579,0.532,57,71,0.803,76,217,293,79,52,54,75,224,647,10.3,0.553,0.455,0.128,4.4,13.2,8.7,6.1,1.4,2.9,11.4,15.3,0.7,1.7,2.4,0.065,-2.9,-0.1,-2.9,-0.4,2161440
