Rk,Player,Tm,2019-20
184,Jarrett Culver\culveja01,MIN,$5813640
185,Jonathan Isaac\isaacjo01,ORL,$5806440
186,Rodney Hood\hoodro01,POR,$5718000
187,Mohamed Bamba\bambamo01,ORL,$5697600
188,Timofey Mozgov\mozgoti01,ORL,$5573333
189,Trey Lyles\lylestr01,SAS,$5500000
190,Deron Williams\willide01,BRK,$5474787
191,Aron Baynes\baynear01,PHO,$5453280
192,Kris Dunn\dunnkr01,CHI,$5348007
193,Josh Smith\smithjo03,DET,$5331729
194,Coby White\whiteco01,CHI,$5307120
195,Lauri Markkanen\markkla01,CHI,$5300400
196,Ryan Anderson\anderry01,MIA,$5214583
197,Wendell Carter\cartewe01,CHI,$5201400
198,Pau Gasol\gasolpa01,SAS,$5100000
199,Daniel Theis\theisda01,BOS,$5000000
200,Luol Deng\denglu01,LAL,$4990000
201,Jaxson Hayes\hayesja02,NOP,$4862040
202,Buddy Hield\hieldbu01,SAC,$4861208
203,Frank Ntilikina\ntilila01,NYK,$4855800
204,Ed Davis\davised01,UTA,$4767000
205,Richaun Holmes\holmeri01,SAC,$4767000
206,Frank Kaminsky\kaminfr01,PHO,$4767000
207,Mike Scott\scottmi01,PHI,$4767000
208,Avery Bradley\bradlav01,LAL,$4767000
209,Robin Lopez\lopezro01,MIL,$4767000
210,JaMychal Green\greenja01,LAC,$4767000
211,Justin Holiday\holidju01,IND,$4767000
212,Garrett Temple\templga01,BRK,$4767000
213,Enes Kanter\kanteen01,BOS,$4767000
214,Collin Sexton\sextoco01,CLE,$4764960
215,Rodney McGruder\mcgruro01,LAC,$4629630
216,Rui Hachimura\hachiru01,WAS,$4469160
217,Kevon Looney\looneke01,GSW,$4464286
218,Dennis Smith\smithde03,NYK,$4463640
219,Jamal Murray\murraja01,DEN,$4444746
220,Kevin Knox\knoxke01,NYK,$4380120
221,Cam Reddish\reddica01,ATL,$4245720
222,Zach Collins\colliza01,POR,$4240200
223,Mikal Bridges\bridgmi01,PHO,$4161000
224,Alex Len\lenal01,SAC,$4160000
225,Cameron Johnson\johnsca02,PHO,$4033440
226,Malik Monk\monkma01,CHO,$4028400
227,Dorian Finney-Smith\finnedo01,DAL,$4000000
228,JaVale McGee\mcgeeja01,LAL,$4000000
229,Patrick McCaw\mccawpa01,TOR,$4000000
230,Reggie Bullock\bullore01,NYK,$4000000
231,Shai Gilgeous-Alexander\gilgesh01,OKC,$3952920
232,Nicolò Melli\mellini01,NOP,$3902439
233,P.J. Washington\washipj01,CHO,$3831840
234,Luke Kennard\kennalu01,DET,$3827160
235,Miles Bridges\bridgmi02,CHO,$3755400
236,Jakob Poeltl\poeltja01,SAS,$3754886
237,Tyler Herro\herroty01,MIA,$3640200
238,Donovan Mitchell\mitchdo01,UTA,$3635760
239,Stanley Johnson\johnsst04,TOR,$3623000
240,Jake Layman\laymaja01,MIN,$3581986
241,Thon Maker\makerth01,DET,$3569643
242,Jerome Robinson\robinje01,WAS,$3567720
243,Allonzo Trier\trieral01,NYK,$3551100
244,Danuel House\houseda01,HOU,$3540000
245,Domantas Sabonis\sabondo01,IND,$3529555
246,Mirza Teletović\teletmi01,MIL,$3500000
247,Boban Marjanović\marjabo01,DAL,$3500000
248,T.J. McConnell\mccontj01,IND,$3500000
249,DeMarcus Cousins\couside01,LAL,$3500000
250,Taurean Waller-Prince\princta02,BRK,$3481986
251,Dario Šarić\saricda01,PHO,$3481986
252,Romeo Langford\langfro01,BOS,$3458400
253,Bam Adebayo\adebaba01,MIA,$3454080
254,Kyle Korver\korveky01,PHO,$3440000
255,Michael Porter\portemi01,DEN,$3389400
256,Denzel Valentine\valende01,CHI,$3377569
257,Juan Hernangómez\hernaju01,MIN,$3321030
258,Sekou Doumbouya\doumbse01,DET,$3285120
259,Justin Jackson\jacksju01,DAL,$3280920
260,Troy Brown\browntr01,WAS,$3219480
261,Jon Leuer\leuerjo01,MIL,$3169348
262,Yogi Ferrell\ferreyo01,SAC,$3150000
263,Guerschon Yabusele\yabusgu01,BOS,$3117240
264,Zhaire Smith\smithzh01,PHI,$3058800
265,Dwight Howard\howardw01,MEM,$3039097
266,Khem Birch\birchkh01,ORL,$3000000
267,Ryan Arcidiacono\arcidry01,CHI,$3000000
268,Quinn Cook\cookqu01,LAL,$3000000
269,Ömer Aşık\asikom01,CHI,$3000000
270,Nickeil Alexander-Walker\alexani01,NOP,$2964840
271,D.J. Wilson\wilsodj01,MIL,$2961120
272,Cedi Osman\osmande01,CLE,$2907143
273,Donte DiVincenzo\divindo01,MIL,$2905800
274,Bryn Forbes\forbebr01,SAS,$2875000
275,Andrew Nicholson\nichoan01,POR,$2844429
276,Goga Bitadze\bitadgo01,IND,$2816760
277,T.J. Leaf\leaftj01,IND,$2813280
278,Lonnie Walker\walkelo01,SAS,$2760480
279,Alex Caruso\carusal01,LAL,$2750000
280,Malik Beasley\beaslma01,MIN,$2731714
281,Luka Šamanić\samanlu01,SAS,$2689920
282,John Collins\collijo01,ATL,$2686560
283,Kevin Huerter\huertke01,ATL,$2636280
284,Caris LeVert\leverca01,BRK,$2625718
285,Marko Guduric\gudurma01,MEM,$2625000
286,DeAndre' Bembry\bembrde01,ATL,$2603982
287,Matisse Thybulle\thybuma01,PHI,$2582160
288,Harry Giles\gilesha01,SAC,$2578800
289,Jeff Green\greenje02,UTA,$2564753
290,Pau Gasol\gasolpa01,POR,$2564753
291,Wesley Matthews\matthwe02,MIL,$2564753
292,Kyle Korver\korveky01,MIL,$2564753
293,Udonis Haslem\hasleud01,MIA,$2564753
294,Jared Dudley\dudleja01,LAL,$2564753
295,Rajon Rondo\rondora01,LAL,$2564753
296,Dwight Howard\howardw01,LAL,$2564753
297,Thabo Sefolosha\sefolth01,HOU,$2564753
298,Tyson Chandler\chandty01,HOU,$2564753
299,Gerald Green\greenge01,DEN,$2564753
300,J.J. Barea\bareajo01,DAL,$2564753
301,Wilson Chandler\chandwi01,BRK,$2564753
302,Nenê Hilário\hilarne01,ATL,$2564753
303,Vince Carter\cartevi01,ATL,$2564753
304,Josh Okogie\okogijo01,MIN,$2530680
305,Vincent Poirier\poirivi01,BOS,$2505793
306,Rondae Hollis-Jefferson\holliro01,TOR,$2500000
307,Brandon Clarke\clarkbr01,MEM,$2478840
308,Terrance Ferguson\fergute01,OKC,$2475840
309,Grayson Allen\allengr01,MEM,$2429400
310,Anthony Tolliver\tollian01,SAC,$2419852
311,Grant Williams\willigr01,BOS,$2379840
312,Jarrett Allen\allenja01,BRK,$2376840
313,Pascal Siakam\siakapa01,TOR,$2351839
314,Skal Labissière\labissk01,ATL,$2338847
315,Chandler Hutchison\hutchch01,CHI,$2332320
316,Patrick Patterson\pattepa01,LAC,$2331593
317,Dejounte Murray\murrade01,SAS,$2321735
318,Alec Burks\burksal01,PHI,$2320044
319,Isaiah Thomas\thomais02,LAC,$2320044
320,Damian Jones\jonesda03,ATL,$2305057
321,Darius Bazley\bazleda01,OKC,$2284800
322,OG Anunoby\anunoog01,TOR,$2281800
323,Ante Žižić\zizican01,CLE,$2281800
324,Monta Ellis\ellismo01,IND,$2245400
325,Markieff Morris\morrima02,DET,$2241808
