edad,anos_de_experiencia,anos_en_la_empresa_actual,anos_en_el_puesto_actual,perfil,salario_bruto,salario_neto
35,15,1,1,Data Scientist / Data Engineer,180000,120000
25,0,0,0,Data Scientist / Data Engineer,100000,90000
26,3,2,2,BI Analyst / Data Analyst,91000,73000
36,15,5,0,BI Analyst / Data Analyst,165000,115000
34,18,9,9,BI Analyst / Data Analyst,75000,62000
32,8,1,1,BI Analyst / Data Analyst,216000,150000
24,1,1,1,BI Analyst / Data Analyst,73000,60000
35,1,1,1,BI Analyst / Data Analyst,85000,70000
37,6,0,0,Data Scientist / Data Engineer,170000,128000
25,3,0,0,BI Analyst / Data Analyst,80000,66000
29,8,0,8,BI Analyst / Data Analyst,102000,85000
40,15,3,1,Data Scientist / Data Engineer,125000,100000
29,5,0,0,Data Scientist / Data Engineer,100000,82000
31,12,2,2,BI Analyst / Data Analyst,165000,125000
27,3,5,3,BI Analyst / Data Analyst,62000,51500
24,0,1,0,Data Scientist / Data Engineer,61000,51000
28,7,1,4,BI Analyst / Data Analyst,52279,43392
35,5,3,3,Data Scientist / Data Engineer,160000,100000
29,0,6,1,Data Scientist / Data Engineer,48000,40000
31,1,0,0,BI Analyst / Data Analyst,70000,65000
28,3,3,1,Data Scientist / Data Engineer,100000,80000
38,15,13,2,BI Analyst / Data Analyst,100000,75000
29,1,0,1,BI Analyst / Data Analyst,94000,71000
35,13,7,2,BI Analyst / Data Analyst,112000,98000
33,6,3,1,BI Analyst / Data Analyst,101000,80000
27,2,0,0,Data Scientist / Data Engineer,90825,73035
37,4,0,0,Data Scientist / Data Engineer,109000,10700
28,4,2,1,BI Analyst / Data Analyst,47000,39000
26,3,2,0,Data Scientist / Data Engineer,46000,39000
30,4,3,3,BI Analyst / Data Analyst,130000,116000
30,5,2,2,BI Analyst / Data Analyst,118000,97000
34,12,12,4,BI Analyst / Data Analyst,64433,54588
32,2,1,2,Data Scientist / Data Engineer,70361,58230
30,5,2,1,Data Scientist / Data Engineer,54000,40000
55,25,5,10,Data Scientist / Data Engineer,140000,100000
32,10,2,2,BI Analyst / Data Analyst,60000,53000
26,3,0,0,BI Analyst / Data Analyst,110000,85000
33,12,12,3,BI Analyst / Data Analyst,105000,70000
25,3,0,0,Data Scientist / Data Engineer,104000,81000
30,3,1,1,Data Scientist / Data Engineer,80000,66300
27,4,2,2,BI Analyst / Data Analyst,61000,50630
43,20,1,1,BI Analyst / Data Analyst,105000,85000
31,8,3,1,BI Analyst / Data Analyst,161000,115000
43,20,5,5,BI Analyst / Data Analyst,160000,120000
31,5,1,4,BI Analyst / Data Analyst,63000,52290
39,14,8,5,BI Analyst / Data Analyst,113000,89000
30,5,2,2,BI Analyst / Data Analyst,82000,68900
37,0,0,0,Data Scientist / Data Engineer,40000,38000
36,13,1,0,BI Analyst / Data Analyst,72000,57000
36,13,1,0,BI Analyst / Data Analyst,72000,57000
