id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type,precio_en_miles
BjaPeqFUDQn58ouxpjQc4g==,Recoleta,3,1,90,63,175000,Departamento,175
LXOE9u9iVPTCCL8WT0JAQw==,Saavedra,3,1,52,52,74500,Departamento,74
BSXbidhUQb1bhtJBxwvSVw==,Balvanera,3,1,60,50,108000,Departamento,108
hrjIhmfBrwDZuyQw8mYraA==,Caballito,3,2,80,62,190000,Departamento,190
Iifv1Uu/aSYU9m3w5UIblA==,Monserrat,3,1,71,71,65000,Departamento,65
zkftPg4duZ3MIdttQ8nj0A==,Villa Crespo,3,2,76,65,170000,Departamento,170
p2hJ5dQLMXdBw414xYeWNg==,Villa Urquiza,3,1,79,56,145000,Departamento,145
e8IJzRzSW8oZOBxf7vrB3Q==,Villa Urquiza,3,1,68,59,179000,Departamento,179
PulQiT02mKCl1xLSpBHhIA==,Parque Chacabuco,3,2,67,62,230000,Departamento,230
EzQskABRlmyMgjzg2cbOxw==,Villa del Parque,3,2,115,90,188000,PH,188
DZI1eGAFxqdeXY/NdtDg1g==,Boedo,3,1,84,75,150000,Departamento,150
2sCAsD27NgBgJDl7oV3qyw==,Nuñez,3,2,126,120,570000,Departamento,570
s3xoqHUmaRvyrZg6bhFXfA==,Liniers,3,2,73,63,158000,Departamento,158
HmISO9Xx/QgdSwq35EgkJA==,Palermo,3,1,77,60,199000,Departamento,199
SSxDXu4Koskxdr1YiSyqCA==,Colegiales,3,2,73,59,158997,Departamento,159
00iR1F9yQt59olp5qXnrjw==,San Nicolás,3,2,82,81,130000,Departamento,130
pXsd/5NaebXTRqnm1oE5Rw==,San Nicolás,3,1,74,66,155000,Departamento,155
9kYP8oZ6cwcE9Wo6lClkKQ==,Palermo,4,2,250,126,295000,PH,295
u9ERf5xmOinJrQ2qpwOF9g==,Palermo,4,2,132,110,276000,Departamento,276
o5bboM/dOIKw10Po2HyqDg==,Belgrano,4,3,124,116,485000,Departamento,485
m4lLPGAZeIqvUVmumUaobA==,Recoleta,4,3,110,95,390000,Departamento,390
959erp2DAHkx2zdQLm5S0w==,Recoleta,4,3,317,299,850000,Departamento,850
NGkkKsS4QYkj+D0yuVnFOQ==,Barrio Norte,4,3,179,172,560000,Departamento,560
qRyxeszS1sFRS2ayGG64Pw==,Villa Crespo,4,3,131,107,300000,Departamento,300
fqCbAiW8QBg5704FHanQJQ==,Caballito,4,1,104,89,134000,PH,134
0Qz3Lr1MJfPrud0LpowsbQ==,Parque Avellaneda,4,2,215,125,193000,PH,193
e1pzUWOOOYBapbSx8ggjtg==,Villa Lugano,4,2,100,100,200000,Casa,200
Ni8wJaUaYTPxBXTXO7fRyQ==,Flores,4,2,98,84,249900,Departamento,250
TjhtMDndwyUAPvm9iSqC9A==,Liniers,4,2,92,80,275000,Departamento,275
4umHvYo3jcRoBl0D8mmuUw==,Palermo,4,3,228,228,699000,Departamento,699
qnMjYp7L4pzI+q2009OuXw==,Belgrano,4,1,81,77,160000,Departamento,160
xvs3FHdaDOx9f1IGDX7nsw==,Belgrano,4,3,175,161,790000,Departamento,790
